# Drone Fire Fighting System Performance Metrics
# Created: 2025-04-06 19:11:08.466
# Format: timestamp,event_type,zone_id,value,details
# -------------------------------------------------------
2025-04-06 19:11:53.972,STATE_CHANGE,-1,0.000,drone=drone3,state=EnRoute
2025-04-06 19:11:53.974,FIRE_START,8,0.000,severity=High
2025-04-06 19:11:53.975,DRONE_ASSIGNED,8,1.000,drone=drone3
2025-04-06 19:11:53.977,STATE_CHANGE,-1,0.000,drone=drone4,state=EnRoute
2025-04-06 19:11:53.978,FIRE_START,7,0.000,severity=High
2025-04-06 19:11:53.980,DRONE_ASSIGNED,7,1.000,drone=drone4
2025-04-06 19:11:56.200,STATE_CHANGE,-1,0.000,drone=drone5,state=DroppingAgent
2025-04-06 19:11:56.203,AGENT_DROP,8,0.000,drone=drone5
2025-04-06 19:11:56.205,STATE_CHANGE,-1,0.000,drone=drone5,state=ArrivedToBase
2025-04-06 19:11:57.506,STATE_CHANGE,-1,0.000,drone=drone2,state=Idle
2025-04-06 19:11:57.507,STATE_CHANGE,-1,0.000,drone=drone9,state=Idle
2025-04-06 19:11:57.509,STATE_CHANGE,-1,0.000,drone=drone1,state=Idle
2025-04-06 19:11:57.510,STATE_CHANGE,-1,0.000,drone=drone2,state=EnRoute
2025-04-06 19:11:57.511,FIRE_START,7,0.000,severity=High
2025-04-06 19:11:57.512,STATE_CHANGE,-1,0.000,drone=drone9,state=EnRoute
2025-04-06 19:11:57.513,STATE_CHANGE,-1,0.000,drone=drone1,state=EnRoute
2025-04-06 19:11:57.514,FIRE_START,11,0.000,severity=Moderate
2025-04-06 19:11:57.516,RESPONSE_TIME,11,0.002,drone=drone1
2025-04-06 19:11:57.517,DRONE_ASSIGNED,11,1.000,drone=drone1
2025-04-06 19:11:57.518,DRONE_ASSIGNED,7,1.000,drone=drone2
2025-04-06 19:11:57.518,FIRE_START,7,0.000,severity=High
2025-04-06 19:11:57.519,DRONE_ASSIGNED,7,1.000,drone=drone9
2025-04-06 19:12:00.504,STATE_CHANGE,-1,0.000,drone=drone6,state=Idle
2025-04-06 19:12:00.510,STATE_CHANGE,-1,0.000,drone=drone6,state=EnRoute
2025-04-06 19:12:00.511,FIRE_START,11,0.000,severity=Moderate
2025-04-06 19:12:00.512,DRONE_ASSIGNED,11,1.000,drone=drone6
2025-04-06 19:12:00.571,STATE_CHANGE,-1,0.000,drone=drone10,state=Idle
2025-04-06 19:12:00.575,STATE_CHANGE,-1,0.000,drone=drone10,state=EnRoute
2025-04-06 19:12:00.575,FIRE_START,4,0.000,severity=Moderate
2025-04-06 19:12:00.577,RESPONSE_TIME,4,0.002,drone=drone10
2025-04-06 19:12:00.578,DRONE_ASSIGNED,4,1.000,drone=drone10
2025-04-06 19:12:01.201,STATE_CHANGE,-1,0.000,drone=drone7,state=Idle
2025-04-06 19:12:01.204,STATE_CHANGE,-1,0.000,drone=drone7,state=EnRoute
2025-04-06 19:12:01.205,FIRE_START,4,0.000,severity=Moderate
2025-04-06 19:12:01.207,DRONE_ASSIGNED,4,1.000,drone=drone7
2025-04-06 19:12:04.081,STATE_CHANGE,-1,0.000,drone=drone8,state=DroppingAgent
2025-04-06 19:12:04.082,AGENT_DROP,8,0.000,drone=drone8
2025-04-06 19:12:04.084,FIRE_EXTINGUISHED,8,10.109,drones_used=1
2025-04-06 19:12:04.085,STATE_CHANGE,-1,0.000,drone=drone8,state=ArrivedToBase
2025-04-06 19:12:05.798,STATE_CHANGE,-1,0.000,drone=drone4,state=DroppingAgent
2025-04-06 19:12:05.800,AGENT_DROP,7,0.000,drone=drone4
2025-04-06 19:12:05.802,FIRE_EXTINGUISHED,7,8.289,drones_used=1
2025-04-06 19:12:05.803,STATE_CHANGE,-1,0.000,drone=drone4,state=ArrivedToBase
2025-04-06 19:12:08.607,STATE_CHANGE,-1,0.000,drone=drone10,state=DroppingAgent
2025-04-06 19:12:08.608,AGENT_DROP,4,0.000,drone=drone10
2025-04-06 19:12:08.610,STATE_CHANGE,-1,0.000,drone=drone10,state=ArrivedToBase
2025-04-06 19:12:09.275,STATE_CHANGE,-1,0.000,drone=drone7,state=DroppingAgent
2025-04-06 19:12:09.277,AGENT_DROP,4,0.000,drone=drone7
2025-04-06 19:12:09.281,FIRE_EXTINGUISHED,4,8.076,drones_used=1
2025-04-06 19:12:09.283,STATE_CHANGE,-1,0.000,drone=drone7,state=ArrivedToBase
2025-04-06 19:12:13.058,STATE_CHANGE,-1,0.000,drone=drone5,state=Idle
2025-04-06 19:12:13.065,STATE_CHANGE,-1,0.000,drone=drone5,state=EnRoute
2025-04-06 19:12:13.066,FIRE_START,5,0.000,severity=Low
2025-04-06 19:12:13.068,RESPONSE_TIME,5,0.001,drone=drone5
2025-04-06 19:12:13.069,DRONE_ASSIGNED,5,1.000,drone=drone5
2025-04-06 19:12:16.634,STATE_CHANGE,-1,0.000,drone=drone10,state=Idle
2025-04-06 19:12:16.637,STATE_CHANGE,-1,0.000,drone=drone10,state=EnRoute
2025-04-06 19:12:16.639,FIRE_START,10,0.000,severity=Low
2025-04-06 19:12:16.641,RESPONSE_TIME,10,0.001,drone=drone10
2025-04-06 19:12:16.642,DRONE_ASSIGNED,10,1.000,drone=drone10
2025-04-06 19:12:17.289,STATE_CHANGE,-1,0.000,drone=drone7,state=Idle
2025-04-06 19:12:17.495,STATE_CHANGE,-1,0.000,drone=drone4,state=Idle
2025-04-06 19:12:17.959,STATE_CHANGE,-1,0.000,drone=drone1,state=DroppingAgent
2025-04-06 19:12:17.961,AGENT_DROP,11,0.000,drone=drone1
2025-04-06 19:12:17.962,STATE_CHANGE,-1,0.000,drone=drone1,state=ArrivedToBase
2025-04-06 19:12:20.926,STATE_CHANGE,-1,0.000,drone=drone8,state=Idle
2025-04-06 19:12:20.935,STATE_CHANGE,-1,0.000,drone=drone6,state=DroppingAgent
2025-04-06 19:12:20.936,AGENT_DROP,11,0.000,drone=drone6
2025-04-06 19:12:20.937,FIRE_EXTINGUISHED,11,20.426,drones_used=1
2025-04-06 19:12:20.939,STATE_CHANGE,-1,0.000,drone=drone6,state=ArrivedToBase
2025-04-06 19:12:26.177,STATE_CHANGE,-1,0.000,drone=drone5,state=DroppingAgent
2025-04-06 19:12:26.179,AGENT_DROP,5,0.000,drone=drone5
2025-04-06 19:12:26.181,FIRE_EXTINGUISHED,5,13.114,drones_used=1
2025-04-06 19:12:26.193,STATE_CHANGE,-1,0.000,drone=drone5,state=ArrivedToBase
2025-04-06 19:12:31.924,STATE_CHANGE,-1,0.000,drone=drone10,state=DroppingAgent
2025-04-06 19:12:31.926,AGENT_DROP,10,0.000,drone=drone10
2025-04-06 19:12:31.929,FIRE_EXTINGUISHED,10,15.289,drones_used=1
2025-04-06 19:12:31.930,STATE_CHANGE,-1,0.000,drone=drone10,state=ArrivedToBase
2025-04-06 19:12:38.422,STATE_CHANGE,-1,0.000,drone=drone1,state=Idle
2025-04-06 19:12:39.356,STATE_CHANGE,-1,0.000,drone=drone5,state=Idle
2025-04-06 19:12:41.397,STATE_CHANGE,-1,0.000,drone=drone6,state=Idle
2025-04-06 19:12:47.331,STATE_CHANGE,-1,0.000,drone=drone10,state=Idle
